scopus_id,nr,last_name,first_name
58306344700,1,Barnes,Kathryn
57200231841,2,Bast,Nico
57210360881,3,Chakraborty,Taniya
57189708250,4,Depner,Anamaria
56311121500,5,Eckart,Sebastian
57212106700,6,Eibes,Pia
57193451034,7,Hussein,Rana
57204933506,8,König,Tobias
57211913001,9,Kortendiek,Nele
56708137700,10,McCormack,Jeremy
57225238849,11,Middelhoff,Frederike
57212374512,12,Petry,Johannes
57194129320,13,Scheich,Sebastian
60241831500,14,Steele,Sina
57210441659,14,Selzer,Sina
57200530111,15,Stephan,Till
59895841600,16,Taylor,Nathan
23029487300,17,Uckelmann,Hannah